DeviceName,DeviceDateTime,BatteryStatus,CommId,GPS Confidence,GPS Fail Counter,GpsQuality,Latitude,Longitude
0-4351296,2023-03-10 02:09:47,GOOD,0-4351296,0,0,3,48.357986,-4.560077
0-4351902,2023-03-10 02:05:55,GOOD,0-4351902,0,0,3,48.357836,-4.56042
0-4351296,2023-03-10 02:04:47,GOOD,0-4351296,0,0,3,48.357964,-4.56012
0-4351902,2023-03-10 02:00:53,GOOD,0-4351902,0,0,3,48.357922,-4.560463
0-4351296,2023-03-10 01:59:47,GOOD,0-4351296,0,0,3,48.357975,-4.560184
0-4351902,2023-03-10 01:55:55,GOOD,0-4351902,0,0,3,48.357911,-4.560442
0-4351296,2023-03-10 01:54:47,GOOD,0-4351296,0,0,3,48.357964,-4.560227
0-4351902,2023-03-10 01:50:53,GOOD,0-4351902,0,0,3,48.3579,-4.560399
0-4351296,2023-03-10 01:49:48,GOOD,0-4351296,0,0,3,48.357975,-4.560227
0-4351902,2023-03-10 01:45:54,GOOD,0-4351902,0,0,3,48.357911,-4.560463
0-4351296,2023-03-10 01:44:48,GOOD,0-4351296,0,0,3,48.357986,-4.560249
0-4351902,2023-03-10 01:40:54,GOOD,0-4351902,0,0,3,48.357922,-4.56042
0-4351296,2023-03-10 01:39:49,GOOD,0-4351296,0,0,3,48.357986,-4.560292
0-4351902,2023-03-10 01:35:53,GOOD,0-4351902,0,0,3,48.357943,-4.56042
0-4351296,2023-03-10 01:34:49,GOOD,0-4351296,0,0,3,48.358018,-4.560313
0-4351902,2023-03-10 01:30:50,GOOD,0-4351902,0,0,3,48.357922,-4.56042
0-4351296,2023-03-10 01:29:48,GOOD,0-4351296,0,0,3,48.357825,-4.560356
0-4351902,2023-03-10 01:25:52,GOOD,0-4351902,0,0,3,48.3579,-4.560463
0-4351296,2023-03-10 01:25:31,GOOD,0-4351296,0,0,3,48.3579,-4.560463
0-4351902,2023-03-10 01:21:07,GOOD,0-4351902,0,0,3,48.35864,-4.560463
0-4351296,2023-03-10 01:20:05,GOOD,0-4351296,0,0,3,48.358812,-4.560764
0-4351902,2023-03-10 01:15:57,GOOD,0-4351902,0,0,3,48.359037,-4.56027
0-4351296,2023-03-10 01:14:49,GOOD,0-4351296,0,0,3,48.358179,-4.560463
0-4351902,2023-03-10 01:10:56,GOOD,0-4351902,0,0,3,48.358683,-4.560399
0-4351296,2023-03-10 01:09:46,GOOD,0-4351296,0,0,3,48.35849,-4.560506
0-4351902,2023-03-10 01:06:00,GOOD,0-4351902,0,0,3,48.358587,-4.560249
0-4351296,2023-03-10 01:04:50,GOOD,0-4351296,0,0,3,48.358201,-4.560506
0-4351902,2023-03-10 01:00:53,GOOD,0-4351902,0,0,3,48.358404,-4.560399
0-4351296,2023-03-10 00:59:48,GOOD,0-4351296,0,0,3,48.357986,-4.560485
0-4351902,2023-03-10 00:55:52,GOOD,0-4351902,0,0,3,48.358308,-4.56042
0-4351296,2023-03-10 00:54:48,GOOD,0-4351296,0,0,3,48.357793,-4.560399
0-4351902,2023-03-10 00:50:52,GOOD,0-4351902,0,0,3,48.358211,-4.560442
0-4351296,2023-03-10 00:49:48,GOOD,0-4351296,0,0,3,48.357793,-4.560378
0-4351902,2023-03-10 00:45:52,GOOD,0-4351902,0,0,3,48.358158,-4.560463
0-4351296,2023-03-10 00:44:49,GOOD,0-4351296,0,0,3,48.35775,-4.560442
0-4351902,2023-03-10 00:40:53,GOOD,0-4351902,0,0,3,48.358158,-4.560506
0-4351296,2023-03-10 00:39:47,GOOD,0-4351296,0,0,3,48.357782,-4.560378
0-4351902,2023-03-10 00:35:53,GOOD,0-4351902,0,0,3,48.35819,-4.560485
0-4351296,2023-03-10 00:34:47,GOOD,0-4351296,0,0,3,48.357793,-4.560399
0-4351902,2023-03-10 00:30:50,GOOD,0-4351902,0,0,3,48.358104,-4.560571
0-4351296,2023-03-10 00:29:51,GOOD,0-4351296,0,0,3,48.357782,-4.560399
0-4351902,2023-03-10 00:25:56,GOOD,0-4351902,0,0,3,48.358147,-4.560592
0-4351296,2023-03-10 00:24:50,GOOD,0-4351296,0,0,3,48.357782,-4.560378
0-4351902,2023-03-10 00:20:54,GOOD,0-4351902,0,0,3,48.358115,-4.560657
0-4351296,2023-03-10 00:19:57,GOOD,0-4351296,0,0,3,48.357814,-4.56042
0-4351902,2023-03-10 00:15:52,GOOD,0-4351902,0,0,3,48.358158,-4.560635
0-4351296,2023-03-10 00:14:48,GOOD,0-4351296,0,0,3,48.357782,-4.560378
0-4351902,2023-03-10 00:10:53,GOOD,0-4351902,0,0,3,48.358179,-4.560614
0-4351296,2023-03-10 00:09:48,GOOD,0-4351296,0,0,3,48.357857,-4.560463
0-4351902,2023-03-10 00:05:53,GOOD,0-4351902,0,0,3,48.358168,-4.560657
0-4351296,2023-03-10 00:04:53,GOOD,0-4351296,0,0,3,48.357825,-4.56042
0-4351902,2023-03-10 00:00:55,GOOD,0-4351902,0,0,3,48.358243,-4.560742
0-4351296,2023-03-10 00:00:17,GOOD,0-4351296,0,0,3,48.357932,-4.560485
0-4351902,2023-03-09 23:55:51,GOOD,0-4351902,0,0,3,48.358211,-4.560742
0-4351296,2023-03-09 23:54:49,GOOD,0-4351296,0,0,3,48.358029,-4.560485
0-4351902,2023-03-09 23:50:51,GOOD,0-4351902,0,0,3,48.358168,-4.560807
0-4351296,2023-03-09 23:49:52,GOOD,0-4351296,0,0,3,48.357975,-4.560506
0-4351902,2023-03-09 23:45:51,GOOD,0-4351902,0,0,3,48.358158,-4.560828
0-4351296,2023-03-09 23:44:47,GOOD,0-4351296,0,0,3,48.3579,-4.560485
0-4351902,2023-03-09 23:40:52,GOOD,0-4351902,0,0,3,48.358222,-4.560893
0-4351296,2023-03-09 23:39:53,GOOD,0-4351296,0,0,3,48.357814,-4.560549
0-4351902,2023-03-09 23:35:52,GOOD,0-4351902,0,0,3,48.358179,-4.560871
0-4351296,2023-03-09 23:34:46,GOOD,0-4351296,0,0,3,48.35775,-4.560549
0-4351902,2023-03-09 23:30:53,GOOD,0-4351902,0,0,3,48.358243,-4.56085
0-4351296,2023-03-09 23:29:47,GOOD,0-4351296,0,0,3,48.357771,-4.560571
0-4351902,2023-03-09 23:25:51,GOOD,0-4351902,0,0,3,48.358179,-4.56085
0-4351296,2023-03-09 23:24:48,GOOD,0-4351296,0,0,3,48.357889,-4.560528
0-4351902,2023-03-09 23:20:51,GOOD,0-4351902,0,0,3,48.35819,-4.560807
0-4351296,2023-03-09 23:19:48,GOOD,0-4351296,0,0,3,48.357836,-4.560571
0-4351902,2023-03-09 23:15:53,GOOD,0-4351902,0,0,3,48.358125,-4.56085
0-4351296,2023-03-09 23:14:46,GOOD,0-4351296,0,0,3,48.357922,-4.560506
0-4351902,2023-03-09 23:10:52,GOOD,0-4351902,0,0,3,48.358211,-4.560828
